iter	Passed	Remaining
746	2630	891
747	2637	888
748	2642	885
749	2646	882
750	2651	879
751	2657	876
752	2660	872
753	2666	869
754	2669	866
755	2671	862
756	2674	858
757	2678	855
758	2682	851
759	2685	848
760	2688	844
761	2690	840
762	2694	837
763	2698	833
764	2701	829
765	2705	826
766	2708	822
767	2713	819
768	2716	816
769	2720	812
770	2724	809
771	2729	805
772	2732	802
773	2736	798
774	2739	795
775	2744	792
776	2748	788
777	2751	785
778	2754	781
779	2760	778
780	2764	775
781	2768	771
782	2777	769
783	2783	766
784	2789	763
785	2795	761
786	2800	758
787	2807	755
788	2811	751
789	2814	748
790	2817	744
791	2825	741
792	2829	738
793	2833	735
794	2838	731
795	2843	728
796	2849	725
797	2854	722
798	2859	719
799	2864	716
800	2870	713
801	2877	710
802	2883	707
803	2889	704
804	2895	701
805	2900	698
806	2905	694
807	2909	691
808	2914	688
809	2923	685
810	2927	682
811	2936	679
812	2941	676
813	2947	673
814	2953	670
815	2960	667
816	2966	664
817	2971	661
818	2975	657
819	2982	654
820	2985	650
821	2989	647
822	2992	643
823	2998	640
824	3001	636
825	3004	632
826	3007	629
827	3012	625
828	3016	622
829	3020	618
830	3023	614
831	3029	611
832	3033	608
833	3036	604
834	3039	600
835	3043	597
836	3047	593
837	3050	589
838	3054	586
839	3057	582
840	3061	578
841	3064	575
842	3067	571
843	3070	567
844	3073	563
845	3077	560
846	3080	556
847	3083	552
848	3085	548
849	3090	545
850	3094	541
851	3096	537
852	3099	534
853	3102	530
854	3108	527
855	3111	523
856	3115	519
857	3118	516
858	3122	512
859	3126	508
860	3128	505
861	3131	501
862	3134	497
863	3139	494
864	3143	490
865	3146	486
866	3149	483
867	3155	479
868	3158	476
869	3161	472
870	3164	468
871	3167	464
872	3172	461
873	3175	457
874	3178	454
875	3180	450
876	3184	446
877	3188	443
878	3191	439
879	3194	435
880	3197	431
881	3203	428
882	3206	424
883	3208	421
884	3211	417
885	3214	413
886	3219	410
887	3222	406
888	3225	402
889	3227	398
890	3230	395
891	3236	391
892	3239	388
893	3242	384
894	3245	380
895	3250	377
896	3254	373
897	3257	370
898	3260	366
899	3263	362
900	3268	359
901	3271	355
902	3273	351
903	3276	347
904	3281	344
905	3284	340
906	3287	337
907	3290	333
908	3293	329
909	3298	326
910	3301	322
911	3304	318
912	3307	315
913	3309	311
914	3314	307
915	3317	304
916	3320	300
917	3322	296
918	3325	293
919	3330	289
920	3333	285
921	3336	282
922	3339	278
923	3342	274
924	3347	271
925	3351	267
926	3354	264
927	3357	260
928	3362	256
929	3365	253
930	3368	249
931	3370	245
932	3373	242
933	3378	238
934	3381	235
935	3384	231
936	3387	227
937	3390	224
938	3394	220
939	3397	216
940	3400	213
941	3403	209
942	3406	205
943	3410	202
944	3413	198
945	3416	195
946	3418	191
947	3422	187
948	3426	184
949	3429	180
950	3432	176
951	3435	173
952	3438	169
953	3443	166
954	3446	162
955	3449	158
956	3452	155
957	3457	151
958	3460	147
959	3463	144
960	3466	140
961	3469	137
962	3474	133
963	3477	129
964	3479	126
965	3482	122
966	3486	118
967	3490	115
968	3493	111
969	3496	108
970	3499	104
971	3504	100
972	3508	97
973	3511	93
974	3514	90
975	3517	86
976	3521	82
977	3524	79
978	3527	75
979	3530	72
980	3534	68
981	3538	64
982	3541	61
983	3544	57
984	3547	54
985	3552	50
986	3555	46
987	3558	43
988	3561	39
989	3564	36
990	3569	32
991	3572	28
992	3575	25
993	3577	21
994	3581	17
995	3585	14
996	3588	10
997	3591	7
998	3594	3
999	3599	0
